old_path	new_path
00_Inbox/Eric-Buess-on-X-Claude-Code-Agent-Teams-What-I-Learned-from-Testing-X.md	00_Inbox/Claude Code Agent Teams 测试复盘.md
00_Inbox/The Epstein Intelligence Operation What The Evidence Actually Shows.md	00_Inbox/爱泼斯坦情报行动证据分析.md
03_Resource/校招中的熟悉linux操作系统一般是指达到什么程度__resource_unknown_2026-02-15_02.md	03_Resource/校招 Linux 熟悉程度标准.md
00_Inbox/当年希腊经济危机风雨满楼，新闻里到处是希腊要完为什么后来渐渐没有消息了，怎么就安然度过了危机？.md	00_Inbox/希腊债务危机复盘.md
00_Inbox/先给出结论，然后分任务说明，并在最后附“证据矩阵”汇总。.md	00_Inbox/任务证据矩阵模板.md
00_Inbox/好问题！针对AI和CS领域，这里是最佳实践：.md	00_Inbox/AI与CS学习实践指南.md
00_Inbox/Conversation.md	00_Inbox/对话摘录.md
00_Inbox/未命名 10 1.md	00_Inbox/30个任务证据矩阵.md
00_Inbox/未命名 1__06-杂项_unknown_2026-02-15.md	00_Inbox/空白草稿-06杂项-01.md
00_Inbox/未命名 1__inbox_unknown_2026-02-15.md	00_Inbox/空白草稿-inbox-01.md
00_Inbox/未命名 3__06-杂项_unknown_2026-02-15.md	00_Inbox/空白草稿-06杂项-03.md
00_Inbox/未命名 3__inbox_unknown_2026-02-15.md	00_Inbox/空白草稿-inbox-03.md
00_Inbox/未命名 13.md	00_Inbox/空白草稿-13.md
00_Inbox/未命名 2.md	00_Inbox/空白草稿-02.md
00_Inbox/未命名 4.md	00_Inbox/空白草稿-04.md
00_Inbox/未命名 5.md	00_Inbox/空白草稿-05.md
00_Inbox/未命名 6.md	00_Inbox/空白草稿-06.md
00_Inbox/未命名 7.md	00_Inbox/空白草稿-07.md
00_Inbox/未命名.md	00_Inbox/空白草稿.md
00_Inbox/X Post.md	00_Inbox/X帖子摘录.md
