src	dest	url	title	topics
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/06年的看这些书什么水平_0322.md	D:/Docs/Obsidian/PARA/03-Resource/学习/教育/高校/06年的看这些书什么水平_0322.md	https://www.zhihu.com/question/590486657/answer/2996097809	06年的，看这些书什么水平?	教育, 高校, 阅读, 书单, 文学, 小说
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/11月4日纳斯达克大跌2标普跌1这轮下跌会持续多久是不是减仓的时机_0046.md	D:/Docs/Obsidian/PARA/03-Resource/金融/市场/股票/11月4日纳斯达克大跌2标普跌1这轮下跌会持续多久是不是减仓的时机_0046.md	https://www.zhihu.com/question/1969301350950081475/answer/1969354422392972958	11月4日纳斯达克大跌2%，标普跌1%，这轮下跌会持续多久？是不是减仓的时机？	市场, 股票, 投资, 资产, 加密货币, 黄金
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/2023年后AI_还有什么研究方向有前景_0364.md	D:/Docs/Obsidian/PARA/03-Resource/技术/AI/LLM/2023年后AI_还有什么研究方向有前景_0364.md	https://www.zhihu.com/question/591140366/answer/2954020200	2023年后，AI 还有什么研究方向有前景？	AI, LLM, 模型训练, 2023
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/30_多岁后脑细胞慢慢减少这个时间段学习会很困难吗_0182.md	D:/Docs/Obsidian/PARA/03-Resource/技术/工程/性能/30_多岁后脑细胞慢慢减少这个时间段学习会很困难吗_0182.md	https://www.zhihu.com/question/660607953/answer/1956318065965896082	30 多岁后脑细胞慢慢减少，这个时间段学习会很困难吗？	工程, 性能, 自学, 健康, 运动, 情绪
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/37岁失业了超级痛苦怎么办_0047.md	D:/Docs/Obsidian/PARA/03-Resource/文化/文学/小说/37岁失业了超级痛苦怎么办_0047.md	https://www.zhihu.com/question/382744221/answer/2845150704	37岁失业了超级痛苦，怎么办？	文学, 小说, 出行, 旅行, 关系, 家庭
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/AI绘画_关键词手册_0313.md	D:/Docs/Obsidian/PARA/03-Resource/技术/AI/LLM/AI绘画_关键词手册_0313.md	https://zhuanlan.zhihu.com/p/625855158	AI绘画 关键词手册	AI, LLM, 提示工程, AI绘画, 模型训练, 工程
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/AV1和HEVC的性能差异有多大_0259.md	D:/Docs/Obsidian/PARA/03-Resource/技术/AI/模型训练/AV1和HEVC的性能差异有多大_0259.md	https://www.zhihu.com/question/344725190/answer/1902679122746020689	AV1和HEVC的性能差异有多大？	AI, 模型训练, 工程, 基础设施, 性能, 动漫
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/C_是不是正在被淘汰_0268.md	D:/Docs/Obsidian/PARA/03-Resource/技术/编程/C++/C_是不是正在被淘汰_0268.md	https://www.zhihu.com/question/636722796/answer/3395086877	C++ 是不是正在被淘汰？	编程, C++, Python
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/ChatGPT_出现后那些靠知识记忆取胜的教育模式会被颠覆吗_0365.md	D:/Docs/Obsidian/PARA/03-Resource/技术/AI/LLM/ChatGPT_出现后那些靠知识记忆取胜的教育模式会被颠覆吗_0365.md	https://www.zhihu.com/question/583015287/answer/2952743955	ChatGPT 出现后，那些靠知识记忆取胜的教育模式会被颠覆吗？	AI, LLM, 阅读, 书单, 社会现象, ChatGPT
D:/Docs/Obsidian/PARA/00-Inbox/知乎收藏/ChatGPT_已经对程序员造成了什么影响_0373.md	D:/Docs/Obsidian/PARA/03-Resource/技术/AI/LLM/ChatGPT_已经对程序员造成了什么影响_0373.md	https://www.zhihu.com/question/579037511/answer/2950570882	ChatGPT 已经对程序员造成了什么影响？	AI, LLM, AI绘画, 前端, React, 音乐
